Serial No.,Name of the Apartment,Coordinates x,coordinates y
450,"Heritage ( R) Gandhi Nagar, Mangaluru",12.887140,74.831563
451,"Heritage (R) Coelho Street, Falnir, Mangaluru",12.864465,74.848078
452,"Hermitage,Falnir",12.865102,74.850650
456,High Groove ( R) Near Bejai Circle,12.886068,74.848808
458,"High-Point Apartment, Nanthoor Junction",12.883741,74.864483
459,"Hill Crest, Hat Hill 2Nd Cross Road, Ladyhill",12.895437,74.837751
460,"Hill Point Iii, Derebail, Konchady",12.908858,74.854600
461,"Hill Scape Living, Bejai New 1St Cross Road",12.889415,74.839847
462,"Hill Side Ferns, Shivabagh, Mangalore",12.875168,74.861612
464,"Hill Streak Residential Enclave Gorigudda, Near",12.860974,74.866543
465,"Hill Streak Residential Enclave Kulshekar
",12.883348,74.875470
466,"His Grace, Hathill, Mangaluru",12.889645,74.838467
467,Holy Family Castle,12.884124,74.837218
468,"Horizon Homes ( R) Bejai, Museum Road, Mangaluru",12.887323,74.849044
469,"Hotel Deepa Comforts, M.G Road, Mangaluru",12.877879,74.841839
474,Ibrose Commercial Complex,12.877360,74.842334
476,"Ideal Towers, Ganapathi Temple Road, ©",12.869952,74.840513
477,Ik Building,12.851890,74.847038
479,"Imperia, Melina Mogaru Road, Kaprigudda (New)",12.863213,74.849314
487,Infinity Kankanady,12.866907,74.856009
488,"Inland Apeiron, Pinto'S Lane, (New)",12.874889,74.840701
489,"Inland Avenue (Com) M.G.Road, Mangalore",12.882204,74.839905
492,"Inland Ebony (Res) Kadri Main Road, Mangalore,",12.878139,74.852046
493,"Inland Echelon, Ballalbagh, Off Mg, Road",12.881809,74.836897
494,"Inland Elan, Matadakani Road, Gandhinagar,",12.887393,74.827318
495,"Inland Elite (Res) Near Navabharath Circle, Kodialbail, Mangaluru",12.873251,74.839427
496,"Inland Eminence (Res) Kadri New Road, Mangalore.",12.884442,74.852862
497,"Inland Enclave, Kadri Temple Rd, Mangaluru",12.882317,74.835032
498,"Inland Encore (Res) Kadri Kambla, Mangalore",12.885032,74.850301
499,"Inland Eon, Matadakani Rd, Mangaluru",12.885702,74.829658
500,"Inland Espana, Stylish Residential Apartment,Bejai, Mangalore",12.886982,74.847156
501,"Inland Estoria, Balmatta,Falnir Mangaluru",12.862254,74.853565
502,"Inland Ethos, Mahamayee Temple Road, Temple Square, Mangalore.",12.870434,74.835052
503,"Inland Evince Residential Apartments, Kadri",12.882819,74.855607
504,"Inland Evoke (Res), Kankanady, Mangalore.",12.870210,74.861998
505,"Inland Excellency (Res) Arya Samaj Road, Mangalore.",12.876599,74.851819
506,"Inland Galore (Com) Kankanady, Mangalore",12.869871,74.862181
507,"Inland Majestic (Res) Warehouse Road, Mannagudda, Mangaluru",12.881458,74.836310
508,"Inland Monarch (Com)/ (Res), Near C.V. Nayak Hall, Kadri Main Road, Mangalore",12.878115,74.851066
509,"Inland Ornate (Com) Navabharath Circle, Mangalore.",12.874846,74.840766
510,"Inland Pristine (Res) Kulshekar, Mangalore",12.885295,74.883541
511,"Inland Residency Com/Res) Valencia, Mangalore.",12.863495,74.857795
512,"Inland Salute (Res) Konchady 4Th Mile, Mangalore",12.911675,74.850934
513,"Inland Scion Royal Residency, Falnir Main Road,",12.867990,74.850536
514,"Inland Sovereign, Mission Gori Road, Mannugudda",12.874874,74.840690
515,"Inland Windsors, Airport Road, Mary Hill",12.910314,74.867845
516,"Insignia, Valencia Kankanady",12.864056,74.858609
517,"Iris ,Bejai, Mangaluru",12.887728,74.845308
519,Islamic Trust Apt. Attavara Nandigudda Road,12.866769,74.844803
520,"Ivory Towers, S.L. Mathias Road",12.862883,74.847895
522,"J.V West Point, Abba Hithlu Garden Road",12.885483,74.827699
523,"Jade Apartments, Vaslane, Mangaluru",12.869212,74.854410
524,Janvi Plaza,12.876516,74.847319
526,"Jaya Building, Maidan 4Th Cross Road",12.865459,74.836337
527,"Jaya Nagara Apt, Kadri Nanthoor, Mangaluru",12.885884,74.862125
529,"Jeswin Apartment. Bejai New Rd, Mangaluru",12.888810,74.846645
530,"Jnaneshwari Apartment, Vithoba Temple Road",12.872564,74.839319
533,"Jv Serene, Ambikanagar, Kavoor, Mangaluru",12.925186,74.846317
534,"K2 Aqua, Kudroli",12.866663,74.856067
535,"K2 Habitat, Pandeshwar, Mangaluru",12.855079,74.840388
536,"K2 Senna, Kankanady Bypass Road (Now)",12.866667,74.856069
540,"Kadri Mansion, Alvares Road",12.881438,74.856874
546,"Kambla Heights, Kadri Kambla Rd",12.882648,74.850058
549,"Karunadham ,K.S. Rao Rd, Mangaluru",12.869641,74.842169
551,"Kavitha Apt, Lobo Lane Cross Road",12.878601,74.854603
555,Keshav Apt,12.884643,74.837425
558,"Kings Court, Attavara Jain Compound Road",12.862193,74.850349
561,"Kk Towers, Attavara, Hampankatta",12.860616,74.848343
565,"Kottemane House, Bibi Alabi Road",12.865750,74.837584
569,"Kumars River View, Sulthan Battery Cross Road",12.873485,74.855787
570,"Kunil Centre, Ghs Road, Mangaluru",12.867279,74.840965
572,Kunil Park Apt. Balmatta New 1St Cross Road,12.863221,74.850087
573,"Kuntikan Towers, Kuntikan Jn. To Hari Padav",12.899842,74.843890
574,"Kushe Sadan, Kudmal Ranga Rao Road (C)",12.876000,74.843851
577,"Lady Residency, Ladyhill 1St Cross Road",12.888253,74.835819
578,"Ladyhill Residency, Kulur Ferry Cross Road,",12.891251,74.836716
579,"Lake View Apartment, Jeppu, Gujjarakere",12.845757,74.849995
581,Lalbagh Towers,12.882433,74.839322
583,"Land Links Apartments, Derebail, Mangaluru",12.904671,74.857317
584,"Land Links Elite Ii & Iv, Mary Hill",12.912284,74.859804
585,"Land Links Elite Iii & Iv, Mary Hill, Mangaluru",12.912484,74.859770
586,"Land Links Elite V, Mary Hill, Mangaluru",12.912484,74.859770
587,"Land Links Elite, Land Links Township Road",12.906685,74.853744
588,"Land Links Enclave, Derebail, Mangaluru",12.906186,74.853249
589,"Land Links Heights I Derebail, Mangaluru",12.908836,74.857140
590,"Land Links Heights Ii Derebail, Mangaluru",12.908836,74.857140
591,"Land Links Heights Ill , Derebail",12.908652,74.857105
592,"Land Links Hill Point 1, Derebail",12.908868,74.854597
593,"Land Links Hill Point 2, Derebail",12.908868,74.854598
594,"Land Links Hill Point 3, Derebail",12.908871,74.854246
595,"Land Links Jasmine, Derebail, Mangaluru",12.904636,74.857299
596,"Land Links Lotus, Derebail, Mangaluru",12.908902,74.857278
597,"Land Links Paradise I Derebail, Mangaluru",12.905468,74.852969
598,"Land Links Paradise Ii Derebail, Mangaluru",12.905272,74.853336
599,"Land Links Pinnacle –B Derebail, Mangaluru",12.909316,74.857362
600,"Land Links Residency I, Derebail, Mangaluru",12.905926,74.854443
601,"Land Links Residency Ii, Derebail, Mangaluru",12.906071,74.854776
602,"Land Links Township Derebail, Mangaluru",12.906759,74.856733
603,"Land Links Tulip, Kotekani, Mangaluru",12.898793,74.838754
604,"Land Links Varashree, Kadri, Kambla",12.883668,74.849523
605,"Land Linlks Royal Palm, Kodialbail",12.879655,74.835706
607,"Land Mark Grand City, Pandeshwar Road",12.857622,74.840821
608,"Land Trades Celena Heights, Kottara",12.904945,74.837722
609,"Land Trades Lenhil Ferns, Kadri",12.878069,74.854016
610,"Landmark Green County, Bolar",12.844692,74.844773
611,"Latice Aysha, Mangaladevi Main Road,",12.851904,74.841819
616,"Laxmi Mahal, K.S Rao Road (New)",12.869828,74.842371
618,"Laxmi Vaman Enclave, Kulur Ferry Road",12.891711,74.835842
619,"Laxminarayana Apartments, Pvs Circle, Mangaluru",12.882346,74.834347
621,"Leela Mansio, M.G Road (1996)",12.880948,74.841267
622,"Legacy ( C) Lower Bendore, Mangaluru",12.871395,74.856954
624,"Legend ( R) Vaslane, Mangaluru",12.868831,74.853602
625,"Legend, Vaslane, Mangaluru",12.868831,74.853602
626,"Lenhil Ferns Apt, Lobo Lane Cross Rd, M'Lore",12.878061,74.854012
628,"Light House Condominium (C/R) Lhh Road, Mangaluru",12.871545,74.846278
630,"Linking Towets Commercial Complex, 2Nd Maidan Cross Road",12.865406,74.838824
632,"Little Gardens, Bejai, Mangaluru",12.890788,74.842201
633,"Little Rock, Sturrock Road, Falnir, Mangaluru",12.864616,74.847381
634,Lobo Chamber,12.899297,74.859770
636,"Lotus Avenue (C), Kodialbail",12.877302,74.849641
638,"Lotus Krish, K0Dikal St. Antony Colony Road",12.899708,74.833217
639,"Lotus Park, Kankanady Old Road",12.868103,74.860959
640,"Lotus Sapphire, Ashoknagara",12.898867,74.832911
643,"Luminus, Kulshekar, Mangaluru",12.886322,74.880261
646,"M.C.P.L Towers, Falnlr Road, ( Junction To Unity Hospitol), (C )",12.867679,74.851922
650,"Mac Palace Gardens, Bejal Kaplkad Road",12.894368,74.845799
651,"Madhuban Residential Apa. Rtments J B Lobo Rood , Kottara Chowkl, Mangalo Re.",12.912129,74.832968
652,Madhura Apts,12.901403,74.839042
653,"Madhuvan Apt, Kadri Karnbla Road (1985)",12.870298,74.864060
654,"Madonna Mansion, Karangalpady Market Road",12.884464,74.845027
655,"Magnum, Nehru Avenu Cross Road, Lalbgh",12.885226,74.837282
656,"Mahabaleshwara Bldg,Balmatta Rd",12.884209,74.869988
657,"Mahabaleshwara Classique Ruby, Shakthinagara",12.883852,74.870051
658,"Mahalasa Apt, Gandhinagar 8Th Cross Road",12.888808,74.832557
659,Mahalasa Vaibhava Apt,12.906126,74.864113
661,"Maharaja Excellency, Lalbagh, Mangaluru",12.888224,74.839385
662,"Maharaja Heights, Falnir, Mangaluru",12.868620,74.850804
663,"Maharaja Residency, Balmatta Road, Mangaluru",12.870581,74.845325
664,"Mahendra Manor, Patravo Lane (2002)",12.875393,74.847224
665,"Majesty Enclave, Bishop Victor Road (New)",12.859227,74.850692
666,"Mak Grand, Bendorewell, Mangaluru",12.873009,74.857364
667,"Mak Mall (C} , Kankanady",12.868899,74.858187
668,"Mak Mark, Pumpwell",12.867968,74.864189
669,"Mak Park Square, Mahaveer Circle To Yekkuru Cross Road",12.867211,74.864733
670,"Mak Reviera , Velancia, Mangaluru",12.860722,74.858106
671,"Mak The Address, Sturrock Road",12.865180,74.846632
673,"Malemar Residency, Parapade Road",12.908965,74.844391
674,"Mamatha Residency ,Anegundi , Bejai, Mangaluru",12.890596,74.843612
675,"Manasa Apt, Lobo Lane Cross Road",12.877241,74.855750
676,Manasa Residency,12.880513,74.869333
677,"Manasek Apt, M.V Shetty Road",12.854450,74.840497
679,"Mangala Arcade, Marnamikatte Cross Road",12.852832,74.850114
683,"Mangala Shruthi Apartment, Tailory Road,Mulihithlu",12.846304,74.846996
684,"Mangalore Gate , Kankanady, Mangaluru",12.869590,74.858155
687,"Manjeeth Residency, Kotekani Cross, Mangalore",12.899943,74.838490
689,"Manjuniketan, Kadri Kambla Road, Mangaluru",12.881546,74.854199
690,"Manjushree .· Residency Condominium,. Alvares Road",12.885130,74.853974
691,"Manjushree Residency, Kadri Temple New Road",12.884453,74.854185
692,"Mannagudda Towers, Kuloor",12.882464,74.833213
693,"Marcelia Castle, ·Attavara Nanndigudde Road",12.863727,74.854732
696,Marian Aspire Daddalakadu 3Rd Cross Road,12.902008,74.839487
698,"Marian Paradise Avenue, Nh13 Bikaranakatte",12.885117,74.865691
699,"Marian Paradise Plaza, Jyothi Jn To Bunts Hostel",12.875241,74.848402
701,"Marian Park, Nanthoor",12.887818,74.859822
702,"Marian Promenade, Kadri",12.882522,74.849549
703,"Marian Sentinel, Comm, Kadri Kaibattalu Cross Road",12.884835,74.856994
704,"Marian Solace Residential/Commercial Building Malemar Rd, Derebail, M'Lore",12.908816,74.839653
705,"Marisha Residency, Monkey Stand New Road",12.851872,74.847807
707,Mars & Venus Hoige Ball Road,12.894800,74.834785
711,"Mary Hill View, Ksrtc Bendel Road",12.904441,74.862903
713,"Masco Meredian, Kankanady Old Road",12.869091,74.862622
714,"Masco Planet, Jeppinamogaru, Mangalore",12.851867,74.863735
717,"Matha Residency, Maryhill, Mangaluru",12.906854,74.862498
719,"Matrix Mehul, Block Ab Kurur Ferry Road (2016)",12.879223,74.833328
720,"Matrix Tranquil, Jail Cross Road (2013)",12.880892,74.844213
721,"Matrix West Wings ,Kambla Cross Road",12.878204,74.831793
722,"Maurishka Palace, Kadri Kambla Road Mangalore",12.880208,74.849907
723,"Maurishka Park ,Navabharath Circle, Mangaluru",12.876561,74.840375
724,"Maurishka Tower, Mallikatta, Mangaluru",12.878554,74.856516
726,"Maximus Commercial Complex, Lhh Rd, Mangaluru",12.870571,74.843549
728,"Mayur Paradise, Bokkapattna, Boloor",12.886192,74.824442
730,"Mayur Residency, Telecom Office Road",12.873367,74.853273
731,"Mcpl Complex, Balmatta New 2Nd Cross Road",12.867754,74.851939
734,Medifair Complex,12.876234,74.846214
735,"Meena Complex, Bibi Ala Bi Road",12.866099,74.838150
739,"Mercara Heights, Mercara Hill Road Bendore Mangalore",12.877552,74.858252
741,"Meridian Court, Attavara Nanndigudde Road",12.865530,74.850628
743,Micasa Bejai,12.886063,74.843616
744,"Milagres Castle, Hampankatta, Mangaluru",12.869034,74.844644
746,Milan Horizon,12.899359,74.859772
747,"Milestone 25 Apt,Balmatta,",12.873844,74.851871
749,"Minerva, Bejai, Mangalore",12.890247,74.842271
750,"Minerva,Pragathi Colony Road, Bejai, Mangalore",12.889620,74.842213
751,"Miranda Heights, Kulshekara Road (1996)",12.885459,74.883692
752,Misri Prime.Abba Hithlu Garden Road,12.904427,74.838435
755,"Mk Oceanus, Pandeshwara",12.877961,74.842286
756,"Mohtisham Enclave,Lhh Rd, Hampankatta, Mangaluru",12.870377,74.843130
757,"Mohtisham Fern Hill, Nanthoor",12.879748,74.840299
758,"Monalisa Residency, Bejai Church Road",12.884031,74.845284
759,"Mont Tiara, Nantoor, Mangaluru",12.885874,74.862128
760,"Mosaco, Nehru Avenue Cross Road",12.886141,74.838288
763,"Mothisham Canopy, Urwa",12.899599,74.834272
764,Mothisham Crescent. Derebail,12.879774,74.840269
765,"Moti Sadan, Casba Bazar , Market Ward (New)",12.872623,74.838717
766,"Mourya Residency, Matadakani Cross Road",12.889068,74.827050
768,"Muddam Residency, Kodikal B 7Th Cross Road",12.911241,74.830238
772,"N Force Pauline Apt, Opp. Roshni Nilaya Valencia, Kankanady, M'Lore",12.863833,74.858993
776,"N J Paradise, Chilimbi",12.896325,74.833488
778,"N J Serenity, Ashoknagar",12.899864,74.828842
779,"N J Shalini, Mannagudda",12.880462,74.833539
783,"N J Mayflower, Bendoor",12.872864,74.858120
784,"N J Mayflower, Bendoor, Mangaluru",12.872864,74.858105
787,"Nalapad :Kuni! Towers, Nellikai Road",12.862623,74.834538
788,"Nalapad Apsara Chambers, K S Rao Road",12.869494,74.842347
789,"Nalapad Kunil Towers A Block, M.P.T 1St Cross Road",12.862627,74.834532
790,Nalapad Residency,12.869807,74.867900
794,"Nanda Deepa ,Tile Factory Road Urwa",12.892389,74.827053
795,"Nanda Gokul, Balabail,Bejai",12.893545,74.844468
796,"Nandanvan Apartment ,Kulur Ferry Road",12.879102,74.835571
798,"Narayani Apt, Gandhinagara 8Th Cross Road",12.888862,74.832134
799,"Navami Apt,",12.853620,74.849295
802,"Neela Building, Azzuddin Road (1980)",12.868523,74.833144
804,Newberry Enclave. Bejai Kapikad,12.892834,74.841980
805,"Nirmaan Evanna Homes, Kottara",12.893630,74.841355
807,"N J Arcade, Ladyhill, Mangaluru",12.890679,74.835216
811,"N J Daffoddil, Nantoor, Mangaluru",12.880816,74.868261
812,"N J Paradise, Chilimbi, Mangaluru",12.896320,74.833486
814,"N J Serenity, Ashoknagar, Mangaluru",12.899848,74.828845
815,"N J Shalini, Mannagudda, Mangaluru",12.880419,74.833538
816,"Noel Park, Rock View Road",12.887611,74.837193
817,"Noor Apartments, Milagres Church To Ananda Shetty Circle Cross Road",12.866676,74.845242
818,"Noor Supreme, Azizuddin Main Road",12.869259,74.833236
819,"Noora Residency, Bhaginli Samaja Road",12.847304,74.845002
821,"Northern Sky Palmstreak, Bejbl (New)",12.882526,74.845688
822,"Northern Sky Altair, N.H· 169, Blkamakatte Kaikamba Road",12.885393,74.865997
823,Northern Sky City Pumpwell,12.863624,74.868441
824,Northern Sky Court Yard Sturrock Road,12.865260,74.847321
825,"Notting Hill, Maryhill Mangaluru",12.907824,74.867128
826,"Numero Uno, Jeppu, Mangaluru",12.879629,74.840266
827,"Oasis ( R) Arya Samaj Road, Mangaluru",12.874714,74.851649
828,Oasis Arya Samaj Road,12.874744,74.851671
829,"Oberle Towers , Balmatta, Mangaluru",12.873080,74.851343
830,"Oberle Towers, Balmatta",12.873065,74.851330
831,"Ocean Fortune Residency,Kaikamba To Kulshekara Chruch Road",12.885742,74.880825
834,"Odyssey Arya Samaj Road, Mangaluru",12.877497,74.851690
835,"Oliva Bejai New Road, 4Th Cross Road",12.888867,74.847313
836,"Olive, Bejai Kapikad, Mangalore",12.890574,74.840827
838,"Olympia Residency, Kalpane 3Rd Cross Road",12.884509,74.878246
839,"Onyx, Ashoknagar, Mangaluru",12.899455,74.831832
841,"Opal, Ashoknagar, Mangaluru",12.883832,74.846679
842,"Opera – Plaza (Nandigudda), Mangaluru",12.854184,74.853860
843,"Orchard (R), Arya Samaj Road, Mangaluru",12.876870,74.851170
844,"Orchid ( R) Bendorwell, Mangaluru",12.870431,74.857666
845,"Orion, Lobo Lane, Mangalore",12.878656,74.855262
846,"Ourania, Kadri Toll Gate, Mangalore",12.880877,74.861728
847,"Padma Tara Apt, Kuloor Ferry Road",12.893772,74.836701
848,Pai Lands Building. P.M Rao Road (C),12.869203,74.841047
849,"Pailands Plaza, (C)",12.867558,74.849020
850,"Palace Garden, Balebail Road",12.894352,74.845818
851,"Palguni Apt, Hoigebail Land Links Road",12.894626,74.825370
852,"Palkhi Enclave, Prashanth Nagar",12.905139,74.842645
853,"Pam Arcade, Kottara",12.907507,74.836321
854,"Pam Arcade, Kottara, Mangaluru",12.906321,74.836227
856,"Panchmal Green Gates, Shakthinagara",12.902131,74.880403
857,"Paradise Manor, Kottara 2Nd Cross Road",12.903881,74.838818
858,"Paramount Excellencia (Block A & B), Yekkurcross Road, Kankanady Village ,Mysore (New)",12.855679,74.869539
859,"Parin, Collectors Gate, Balmatta, Mangalore",12.873295,74.852088
860,"Parin, Collectors Gate, Balmatta, Mangalore(C)",12.873210,74.851989
862,"Parvathi Ananth, Ant Cross Road",12.859696,74.840053
864,"Pawan Apartment Karngalpady, Jail Road",12.878938,74.845974
865,Pear Apt. A.B Shetty Circle To Pandeshwara,12.858184,74.839212
867,"Peebi Residency, Esi Hospital 3Rd Cross Road",12.871234,74.857457
869,"Peeyes Homes, Sturrock Road",12.866446,74.847202
870,"Peter Cote, Kankanady",12.868288,74.860304
871,"Petmarc , Bejai Kapikad, Mangaluru",12.898964,74.841045
872,"Petmarc, Bejai Kapikad",12.898963,74.841044
873,"Pinnacle Castle, Monkey Stand Road",12.852288,74.847668
874,"Pio Mall (Commercial), Canara College Road, Mangaluru",12.880116,74.845075
875,"Pio Mall (Commercial), Canara College Road.",12.880142,74.845051
876,"Plam Residency, Bejal Kapikad Roadroad To Malemar Road)",12.910165,74.843101
877,Plama Diamond Falnir Balmatta Road,12.869845,74.851365
878,"Plama Diamond, Falnir Balmatt Rd, Mangaluru",12.869831,74.851392
879,"Plama Elite, S.L Mathias Rd, Mangaluru",12.863897,74.848585
880,"Plama Elite, S.L Mathias Road",12.863906,74.848603
881,"Plama Gardenia, Falnir, Mangalore",12.863500,74.850640
882,"Plama Grande, Kulshekara, Mangalore",12.892546,74.888871
883,"Plama Habitat, Kulshekar, Mangaluru",12.886041,74.885205
884,"Plama Habitat, Kulshekara,Mangalore",12.886036,74.885233
885,"Plama Icon, Bikarnakatta",12.885152,74.874870
886,"Plama Icon, Bikarnakatta, Mangaluru",12.885224,74.874881
888,"Plama Oceanic, Bejai",12.887469,74.841218
889,"Plama Oceanic, Bejai, Mangaluru",12.887511,74.841223
890,"Plama Residency, Bejai Kapikad Rd",12.898013,74.841743
891,"Plama Residency, Bejai Kapikad Rd, Mangaluru",12.898033,74.841694
893,"Pooja Apt, Achariya Nagara",12.855352,74.873811
894,"Pooja Avalon,Chillimbi Hill 3Rd Cross Road",12.895148,74.837014
895,"Poojan Park,",12.897948,74.830643
896,"Poojan Pearl, Jodumuta Sturrock Road",12.868246,74.836689
897,Poojan Place,12.897397,74.842051
898,"Poojan Residency, Sulthan Bathery Road",12.897833,74.830030
899,"Pool Side Apt, Amaralva Road",12.866996,74.846372
902,Poonam Asha Nikethan,12.885336,74.831522
903,"Poonam Galleria, Mangaladevi Main Road",12.856513,74.839705
904,"Poonam Garden, Bejai Kapikad Road (New)",12.892772,74.839491
905,"Poonam Girijankethan,Car Street To Mannagudde",12.879631,74.833918
909,"Poonam Park, Bejai Kapikad",12.892652,74.840022
911,"Poonam Tara Niketan, C.G Kamath Road (Now)",12.877519,74.843540
912,"Poonja Arcade, K S Rao Road, ©",12.868912,74.841624
913,"Popular Complex, Bibi Alabi Road",12.865601,74.837031
914,"Pragathi Livings, Kambla Cross Road",12.878045,74.829943
916,"Prathama Apt, Bejai Church Cross Road, Mangalore Road To Hoigebail Road",12.894548,74.828170
917,"Prathvi Mansion, Bishop Victor Road",12.860638,74.852470
919,"Preethi Apt, Haridas Lane",12.880816,74.838198
920,"Preethi Towers, M.G Cross Road",12.890078,74.828226
922,"Premier Mansion, Arya Samaja Road",12.876035,74.852191
923,"Premium Enclave ( C ) Hampankatta, Mangaluru",12.869357,74.843260
927,"Presidency Alif Homes, Old Kent Road, Mangaluru",12.870884,74.857097
928,"Presidency Avenue Arya Samaj Road, Mangaluru",12.874140,74.851671
930,"Presidency Crown Court Karangalpady, Mangaluru",12.877055,74.845929
931,"Presidency Enclave Diamond Block, Bendorewell, Mangaluru",12.873660,74.856865
933,"Presidency Enclave Sapphire Block Bendorewell, Mangaluru",12.873707,74.857058
934,"Presidency Flora Falnir, Mangalore",12.863875,74.851467
935,"Presidency Life Style, Jeppinamogaru",12.850401,74.863075
936,"Presidency Life Style, Jeppinamogaru – (New), Mangaluru",12.847755,74.863370
939,"Presidency Park Sunflower Block, Karangalpady, Mangaluru",12.877719,74.845631
940,"Presidency Park, Jasmine Block, Karangalpady, Mangaluru",12.878008,74.845670
942,"Presidency Sky Court,Attavar,Mangalore",12.864875,74.845286
943,"Presidency Spectrum, Near Kmc, Attavar",12.859495,74.847935
944,"Presidency Square Car Street, Mangaluru",12.869502,74.838239
